Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C18, C2, C8",C_0603,4,1uF,C113807
"C10, C5",C_0603,2,27pF,C107045
"C11, C12, C15, C16, C17, C21, C23, C24, C25, C26, C27, C28",C_0603,12,0.1uF,C519438
C13,C_0603,1,1.2pF,C913582
C14,C_0603,1,4.7uF,C109456
"C19, C20",C_0603,2,10nF,C344025
C22,C_0603,1,2.2nF,C519416
C3,C_0805,1,100uF,C141660
C4,C_0805,1,22uF,C77071
C6,C_0805,1,0.1uF,C1854118
C7,C_0603,1,0.5pF,C134255
C9,C_0603,1,2.7pF,C701311
D1,LED_0603,1,YELLOW ,C962599
D2,LED_0603,1,GREEN,C4749244
"D3, D4",LED_0603,2,RED,C266784
"D5, D6",LED_0603,2,BLUE,C435849
L1,L_0603,1,1.5nH,C22223
"Q1, Q2, Q3, Q4",SOT-23-3,4,SQ2310ES-T1_GE3,C145342
R1,R_0805,1,0R,C100045
"R10, R11, R12, R13, R14, R15",R_0603,6,10k,C98220
"R16, R17, R18, R19",R_0603,4,200R,C114664
R2,R_0603,1,100k,C14675
"R3, R4",R_0603,2,1k,C14676
R5,R_0603,1,510R,C114670
"R6, R7, R8",R_0603,3,4k7,C99782
R9,R_0603,1,33K,C138282
U1,SOP8-EP,1,XN297L,
U2,SOT-23-5,1,TLV75528PDBVR,C2868951
U3,VFLGA-8,1,DPS310,C130156
U4,QFN-24,1,MPU-6050,C24112
U5,TSSOP-20,1,STM32F030F4P6,C32908
Y1,SMD2016-4P,1,ABM11W-16.0000MHZ,C2965579
